행정구역(구동)별(1),행정구역(구동)별(2),합계,합계,합계,0∼4세,0∼4세,0∼4세,5∼9세,5∼9세,5∼9세,10∼14세,10∼14세,10∼14세,15∼19세,15∼19세,15∼19세,20∼24세,20∼24세,20∼24세,25∼29세,25∼29세,25∼29세,30∼34세,30∼34세,30∼34세,35∼39세,35∼39세,35∼39세,40∼44세,40∼44세,40∼44세,45∼49세,45∼49세,45∼49세,50∼54세,50∼54세,50∼54세,55∼59세,55∼59세,55∼59세,60∼64세,60∼64세,60∼64세,65∼69세,65∼69세,65∼69세,70∼74 세,70∼74 세,70∼74 세,75∼79세,75∼79세,75∼79세,80∼84세,80∼84세,80∼84세,85세이상,85세이상,85세이상
행정구역(구동)별(1),행정구역(구동)별(2),계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여,계,남,여
장안구,소계,273940,137861,136079,6645,3386,3259,10857,5568,5289,13212,6809,6403,14553,7604,6949,21585,11640,9945,21924,12145,9779,16568,8976,7592,16500,8469,8031,20451,10126,10325,23706,11741,11965,26396,12932,13464,22886,11698,11188,20178,10130,10048,13268,6411,6857,8751,3998,4753,7021,2974,4047,5129,2035,3094,4310,1219,3091
장안구,파장동,23285,11779,11506,477,260,217,709,356,353,894,456,438,911,480,431,1518,844,674,1798,971,827,1498,818,680,1425,767,658,1594,812,782,1938,999,939,2223,1120,1103,2140,1092,1048,2120,1057,1063,1420,699,721,950,441,509,725,288,437,533,214,319,412,105,307
장안구,율천동,42174,22330,19844,1135,585,550,1686,847,839,1852,960,892,2107,1119,988,5240,3051,2189,4821,3149,1672,3031,1703,1328,2627,1339,1288,3012,1528,1484,3143,1550,1593,3667,1798,1869,2985,1516,1469,2518,1283,1235,1575,796,779,964,437,527,745,319,426,589,203,386,477,147,330
장안구,정자1동,28902,14208,14694,789,406,383,1474,759,715,1677,882,795,1673,906,767,1977,1070,907,1967,1028,939,1550,817,733,1761,837,924,2384,1120,1264,2750,1307,1443,2950,1426,1524,2341,1159,1182,1970,973,997,1298,592,706,816,364,452,626,258,368,490,201,289,409,103,306
장안구,정자2동,36046,17682,18364,1205,586,619,1747,889,858,1698,876,822,2018,1004,1014,2408,1246,1162,2591,1272,1319,2390,1243,1147,2607,1323,1284,2966,1478,1488,3203,1552,1651,3329,1634,1695,2804,1429,1375,2279,1108,1171,1621,759,862,1093,463,630,947,403,544,652,268,384,488,149,339
장안구,정자3동,41447,20698,20749,1016,549,467,2147,1125,1022,3235,1672,1563,3348,1712,1636,3386,1747,1639,2790,1462,1328,2052,1070,982,2209,1060,1149,3710,1636,2074,4702,2251,2451,4465,2245,2220,3099,1675,1424,2041,1121,920,1078,534,544,720,311,409,600,250,350,470,175,295,379,103,276
장안구,영화동,20015,10169,9846,338,180,158,454,225,229,536,267,269,616,328,288,1075,561,514,1520,784,736,1219,710,509,1143,629,514,1342,753,589,1457,781,676,1839,930,909,2013,1063,950,2137,1038,1099,1575,761,814,1042,485,557,759,348,411,502,217,285,448,109,339
장안구,송죽동,19459,9657,9802,433,211,222,630,327,303,739,379,360,923,504,419,1310,661,649,1608,824,784,1260,651,609,1312,690,622,1387,706,681,1585,822,763,1866,867,999,1751,877,874,1657,813,844,1098,535,563,685,324,361,564,239,325,372,143,229,279,84,195
장안구,조원1동,28186,14231,13955,495,241,254,851,449,402,1197,614,583,1423,766,657,2020,1040,980,2165,1188,977,1676,943,733,1549,836,713,1841,960,881,2365,1203,1162,2800,1363,1437,2570,1298,1272,2448,1232,1216,1602,788,814,1106,521,585,898,383,515,635,249,386,545,157,388
장안구,조원2동,18535,8912,9623,488,234,254,804,421,383,954,458,496,993,517,476,1315,705,610,1431,710,721,979,482,497,972,458,514,1261,579,682,1456,673,783,1928,844,1084,1819,870,949,1498,804,694,813,405,408,554,260,294,444,186,258,390,167,223,436,139,297
장안구,연무동,15891,8195,7696,269,134,135,355,170,185,430,245,185,541,268,273,1336,715,621,1233,757,476,913,539,374,895,530,365,954,554,400,1107,603,504,1329,705,624,1364,719,645,1510,701,809,1188,542,646,821,392,429,713,300,413,496,198,298,437,123,314
권선구,소계,364036,183925,180111,12420,6409,6011,17371,8921,8450,16492,8519,7973,16032,8328,7704,23057,11879,11178,29806,15739,14067,27476,14583,12893,28996,15236,13760,31015,16163,14852,29452,15092,14360,32081,15593,16488,29522,14802,14720,26662,13312,13350,16862,8188,8674,10277,4861,5416,7359,3259,4100,5267,1935,3332,3889,1106,2783
권선구,세류1동,10097,5069,5028,416,205,211,412,214,198,281,149,132,303,167,136,606,323,283,876,447,429,778,398,380,838,457,381,815,440,375,654,337,317,863,394,469,936,480,456,781,376,405,558,266,292,384,175,209,267,127,140,181,67,114,148,47,101
권선구,세류2동,23548,12215,11333,464,226,238,580,306,274,708,361,347,860,446,414,1408,746,662,2155,1173,982,1908,1113,795,1676,969,707,1747,963,784,1860,989,871,2160,1106,1054,2031,1029,1002,2053,1002,1051,1540,700,840,943,447,496,698,311,387,495,209,286,262,119,143
권선구,세류3동,18731,9443,9288,351,176,175,491,218,273,665,331,334,748,411,337,1127,602,525,1513,801,712,1264,702,562,1162,633,529,1419,742,677,1558,824,734,1670,849,821,1626,804,822,1752,855,897,1226,571,655,842,406,436,609,264,345,431,168,263,277,86,191
권선구,평동,40351,20418,19933,1365,703,662,1575,822,753,1629,880,749,1781,895,886,2727,1442,1285,3309,1845,1464,2902,1522,1380,2816,1476,1340,2862,1493,1369,3034,1537,1497,3810,1776,2034,3689,1878,1811,3344,1707,1637,2118,1035,1083,1278,611,667,916,420,496,656,244,412,540,132,408
권선구,서둔동,37982,19351,18631,952,470,482,1265,645,620,1377,738,639,1643,848,795,2600,1324,1276,3257,1764,1493,2733,1543,1190,2660,1472,1188,2821,1532,1289,3060,1591,1469,3499,1771,1728,3259,1636,1623,3168,1543,1625,2136,1020,1116,1345,623,722,1069,454,615,698,260,438,440,117,323
권선구,구운동,24235,12259,11976,549,283,266,728,369,359,880,452,428,1052,537,515,1663,828,835,2111,1135,976,1702,928,774,1482,834,648,1621,874,747,1899,961,938,2367,1166,1201,2344,1166,1178,2215,1104,1111,1400,696,704,854,413,441,575,263,312,462,153,309,331,97,234
권선구,금곡동,45466,22398,23068,1717,877,840,2836,1450,1386,2683,1392,1291,2281,1202,1079,2795,1463,1332,3249,1625,1624,2906,1488,1418,3536,1726,1810,4234,2123,2111,3850,1882,1968,4039,1882,2157,3553,1762,1791,2897,1434,1463,1771,866,905,1164,507,657,818,356,462,635,224,411,502,139,363
권선구,호매실동,46236,23003,23233,2734,1438,1296,3853,2002,1851,2773,1369,1404,2008,1021,987,2241,1124,1117,2643,1321,1322,3362,1569,1793,5143,2588,2555,5205,2709,2496,3518,1894,1624,3255,1547,1708,2847,1372,1475,2621,1338,1283,1568,716,852,924,442,482,704,292,412,456,163,293,381,98,283
권선구,권선1동,24679,12620,12059,535,273,262,650,344,306,741,389,352,874,473,401,1770,869,901,3247,1637,1610,2641,1468,1173,1905,1039,866,1745,905,840,1795,897,898,2076,1044,1032,2039,1061,978,1850,946,904,1147,582,565,674,325,349,431,190,241,323,115,208,236,63,173
권선구,권선2동,48445,23817,24628,2062,1082,980,3128,1627,1501,2840,1470,1370,2486,1303,1183,3048,1611,1437,3306,1707,1599,3486,1687,1799,4058,1970,2088,4657,2247,2410,4196,2017,2179,4138,1899,2239,3704,1773,1931,3176,1512,1664,1794,906,888,961,480,481,605,277,328,454,161,293,346,88,258
권선구,곡선동,27737,14968,12769,672,358,314,913,455,458,1005,509,496,1149,581,568,2036,1003,1033,3180,1793,1387,2906,1705,1201,2486,1431,1055,2407,1387,1020,2460,1353,1107,2565,1352,1213,2181,1172,1009,1586,890,696,881,459,422,444,207,237,350,152,198,265,90,175,251,71,180
권선구,입북동,16529,8364,8165,603,318,285,940,469,471,910,479,431,847,444,403,1036,544,492,960,491,469,888,460,428,1234,641,593,1482,748,734,1568,810,758,1639,807,832,1313,669,644,1219,605,614,723,371,352,464,225,239,317,153,164,211,81,130,175,49,126
팔달구,소계,182162,91926,90236,4542,2334,2208,5513,2768,2745,6279,3287,2992,7405,3733,3672,12579,6191,6388,17727,9321,8406,14558,7969,6589,12505,6816,5689,13147,6890,6257,14305,7330,6975,16342,8238,8104,14783,7572,7211,14326,7229,7097,10196,4757,5439,6764,3095,3669,5213,2260,2953,3604,1397,2207,2374,739,1635
팔달구,행궁동,10465,5606,4859,136,74,62,126,61,65,181,105,76,248,124,124,532,248,284,935,479,456,762,438,324,587,336,251,625,367,258,690,433,257,921,549,372,1052,606,446,1086,598,488,915,450,465,601,283,318,507,242,265,324,134,190,237,79,158
팔달구,매교동,5876,3099,2777,109,59,50,123,61,62,136,69,67,170,93,77,334,163,171,525,288,237,538,311,227,402,206,196,406,251,155,427,248,179,524,292,232,523,288,235,533,270,263,399,190,209,244,116,128,216,89,127,164,59,105,103,46,57
팔달구,매산동,10308,5541,4767,215,127,88,197,87,110,199,105,94,245,120,125,712,370,342,1019,597,422,839,463,376,759,452,307,724,414,310,701,409,292,944,520,424,896,487,409,982,519,463,692,352,340,449,225,224,335,147,188,220,92,128,180,55,125
팔달구,고등동,20018,10092,9926,962,490,472,714,364,350,648,321,327,693,332,361,1176,562,614,1625,822,803,1752,941,811,1709,967,742,1535,854,681,1461,735,726,1639,799,840,1574,806,768,1476,750,726,1109,498,611,770,372,398,590,254,336,363,158,205,222,67,155
팔달구,화서1동,22497,10921,11576,558,280,278,832,398,434,953,501,452,1076,518,558,1479,730,749,1641,860,781,1261,646,615,1292,659,633,1625,829,796,1977,935,1042,2109,1016,1093,1888,919,969,1900,945,955,1363,629,734,990,443,547,728,315,413,488,190,298,337,108,229
팔달구,화서2동,25696,12638,13058,792,405,387,1044,544,500,1234,665,569,1467,713,754,1876,947,929,2026,1048,978,1819,911,908,1623,826,797,1847,891,956,2214,1034,1180,2675,1209,1466,2317,1204,1113,1816,977,839,1027,475,552,643,289,354,535,251,284,432,163,269,309,86,223
팔달구,지동,10633,5435,5198,139,72,67,242,134,108,294,153,141,361,199,162,582,289,293,714,418,296,565,341,224,500,272,228,686,363,323,822,466,356,983,538,445,966,513,453,1138,564,574,910,421,489,644,286,358,509,215,294,346,129,217,232,62,170
팔달구,우만1동,20058,9994,10064,348,177,171,440,238,202,579,303,276,710,368,342,1324,667,657,1893,1029,864,1616,877,739,1280,741,539,1302,703,599,1514,795,719,1853,930,923,1743,855,888,1772,824,948,1301,576,725,919,397,522,697,271,426,469,173,296,298,70,228
팔달구,우만2동,16900,8500,8400,436,231,205,653,307,346,737,403,334,968,535,433,1697,913,784,1858,1045,813,1225,681,544,992,488,504,1237,583,654,1370,672,698,1455,685,770,1231,608,623,1090,528,562,739,345,394,447,190,257,326,135,191,234,91,143,205,60,145
팔달구,인계동,39711,20100,19611,847,419,428,1142,574,568,1318,662,656,1467,731,736,2867,1302,1565,5491,2735,2756,4181,2360,1821,3361,1869,1492,3160,1635,1525,3129,1603,1526,3239,1700,1539,2593,1286,1307,2533,1254,1279,1741,821,920,1057,494,563,770,341,429,564,208,356,251,106,145
영통구,소계,363422,182221,181201,13760,7128,6632,19929,10336,9593,21214,10946,10268,20182,10337,9845,25959,13202,12757,31621,16566,15055,30321,15805,14516,30281,15163,15118,34022,16669,17353,33126,16264,16862,31430,15607,15823,24047,12135,11912,18893,9672,9221,10944,5280,5664,6578,3072,3506,4863,2031,2832,3483,1283,2200,2769,725,2044
영통구,매탄1동,17612,8866,8746,429,221,208,632,311,321,741,365,376,985,518,467,1449,774,675,1540,874,666,1153,629,524,1141,589,552,1264,646,618,1511,703,808,1778,859,919,1481,765,716,1305,639,666,876,408,468,534,248,286,389,190,199,216,80,136,188,47,141
영통구,매탄2동,14781,7347,7434,295,156,139,517,289,228,636,339,297,802,430,372,1103,548,555,1308,655,653,1025,568,457,883,471,412,1067,522,545,1237,606,631,1444,705,739,1250,590,660,1207,596,611,746,363,383,466,219,247,356,157,199,254,91,163,185,42,143
영통구,매탄3동,35982,18656,17326,960,487,473,1657,874,783,2057,1065,992,2185,1099,1086,2822,1482,1340,3583,2074,1509,2839,1687,1152,2613,1373,1240,3175,1574,1601,3447,1734,1713,3360,1721,1639,2380,1221,1159,1891,962,929,1110,527,583,753,366,387,464,204,260,367,130,237,319,76,243
영통구,매탄4동,21431,10479,10952,539,293,246,660,360,300,917,468,449,1195,598,597,1658,874,784,1969,1038,931,1691,930,761,1436,747,689,1612,761,851,1926,869,1057,2042,961,1081,1709,804,905,1546,728,818,937,437,500,593,267,326,435,169,266,323,120,203,243,55,188
영통구,원천동,38806,19645,19161,1547,801,746,2528,1298,1230,2095,1072,1023,1635,873,762,2713,1373,1340,3772,1940,1832,3345,1771,1574,3646,1783,1863,3950,2007,1943,3332,1802,1530,2711,1380,1331,2207,1160,1047,1944,926,1018,1355,646,709,778,366,412,558,230,328,385,145,240,305,72,233
영통구,광교1동,53025,25928,27097,1925,990,935,3296,1760,1536,3642,1869,1773,3186,1595,1591,3602,1640,1962,4748,2097,2651,4757,2308,2449,4681,2160,2521,5469,2588,2881,5072,2480,2592,4449,2281,2168,3069,1613,1456,2188,1200,988,1183,591,592,704,349,355,474,203,271,332,135,197,248,69,179
영통구,광교2동,29337,14124,15213,1461,759,702,1805,913,892,1734,888,846,1414,722,692,1489,806,683,1599,732,867,2176,966,1210,2989,1474,1515,3221,1614,1607,2565,1229,1336,2346,1082,1264,1948,927,1021,1695,786,909,1157,519,638,695,323,372,474,205,269,302,111,191,267,68,199
영통구,영통1동,34785,17108,17677,1323,671,652,1899,975,924,2344,1214,1130,2285,1172,1113,2346,1243,1103,2398,1186,1212,2683,1321,1362,2632,1311,1321,3186,1484,1702,3528,1680,1848,3248,1575,1673,2517,1261,1256,1805,945,860,880,412,468,553,238,315,493,184,309,376,143,233,289,93,196
영통구,영통2동,26188,13855,12333,1313,694,619,1074,542,532,1058,554,504,1031,523,508,1666,828,838,3681,2139,1542,3961,2264,1697,2696,1511,1185,2198,1153,1045,1992,982,1010,1894,972,922,1330,661,669,912,486,426,448,199,249,304,138,166,270,91,179,226,78,148,134,40,94
영통구,영통3동,32527,16629,15898,923,452,471,1477,767,710,2080,1086,994,2101,1107,994,3299,1634,1665,3263,1872,1391,2317,1278,1039,1957,1006,951,2673,1240,1433,3205,1531,1674,3105,1586,1519,2334,1186,1148,1644,923,721,806,435,371,445,195,250,355,149,206,282,106,176,261,76,185
영통구,망포1동,31076,15662,15414,1377,721,656,1899,954,945,2031,1046,985,1927,954,973,2190,1176,1014,2224,1222,1002,2242,1116,1126,2579,1265,1314,2853,1411,1442,2870,1409,1461,2917,1413,1504,2241,1151,1090,1629,897,732,840,433,407,441,209,232,361,145,216,259,85,174,196,55,141
영통구,망포2동,27872,13922,13950,1668,883,785,2485,1293,1192,1879,980,899,1436,746,690,1622,824,798,1536,737,799,2132,967,1165,3028,1473,1555,3354,1669,1685,2441,1239,1202,2136,1072,1064,1581,796,785,1127,584,543,606,310,296,312,154,158,234,104,130,161,59,102,134,32,102
